Year,Round,EventName,LapNumber,TrackStatus
2020,3,Hungarian Grand Prix,63.0,1
2020,3,Hungarian Grand Prix,64.0,1
2020,3,Hungarian Grand Prix,65.0,1
2020,3,Hungarian Grand Prix,66.0,1
2020,3,Hungarian Grand Prix,67.0,1
2020,3,Hungarian Grand Prix,68.0,1
2020,3,Hungarian Grand Prix,69.0,1
2020,3,Hungarian Grand Prix,70.0,1
2020,3,Hungarian Grand Prix,42.0,12
2020,3,Hungarian Grand Prix,43.0,1
2020,3,Hungarian Grand Prix,5.0,21
2020,3,Hungarian Grand Prix,5.0,1
2020,3,Hungarian Grand Prix,41.0,12
2020,3,Hungarian Grand Prix,42.0,21
2020,3,Hungarian Grand Prix,39.0,12
2020,4,British Grand Prix,1.0,1
2020,4,British Grand Prix,2.0,124
2020,4,British Grand Prix,3.0,4
2020,4,British Grand Prix,4.0,4
2020,4,British Grand Prix,5.0,41
2020,4,British Grand Prix,6.0,1
2020,4,British Grand Prix,7.0,1
2020,4,British Grand Prix,8.0,1
2020,4,British Grand Prix,9.0,1
2020,4,British Grand Prix,10.0,1
2020,4,British Grand Prix,11.0,1
2020,4,British Grand Prix,12.0,124
2020,4,British Grand Prix,13.0,4
2020,4,British Grand Prix,14.0,4
2020,4,British Grand Prix,15.0,4
2020,4,British Grand Prix,16.0,4
2020,4,British Grand Prix,17.0,4
2020,4,British Grand Prix,18.0,41
2020,4,British Grand Prix,19.0,1
2020,4,British Grand Prix,20.0,1
2020,4,British Grand Prix,21.0,1
2020,4,British Grand Prix,22.0,1
2020,4,British Grand Prix,23.0,1
2020,4,British Grand Prix,24.0,1
2020,4,British Grand Prix,25.0,1
2020,4,British Grand Prix,26.0,1
2020,4,British Grand Prix,27.0,1
2020,4,British Grand Prix,28.0,1
2020,4,British Grand Prix,29.0,1
2020,4,British Grand Prix,30.0,1
2020,4,British Grand Prix,31.0,1
2020,4,British Grand Prix,32.0,1
2020,4,British Grand Prix,33.0,1
2020,4,British Grand Prix,34.0,1
2020,4,British Grand Prix,35.0,1
2020,4,British Grand Prix,36.0,1
2020,4,British Grand Prix,37.0,1
2020,4,British Grand Prix,38.0,1
2020,4,British Grand Prix,39.0,1
2020,4,British Grand Prix,40.0,1
2020,4,British Grand Prix,41.0,1
2020,4,British Grand Prix,42.0,1
2020,4,British Grand Prix,43.0,1
2020,4,British Grand Prix,44.0,1
2020,4,British Grand Prix,45.0,1
2020,4,British Grand Prix,46.0,1
2020,4,British Grand Prix,47.0,1
2020,4,British Grand Prix,48.0,12
2020,4,British Grand Prix,49.0,1
2020,4,British Grand Prix,50.0,1
