Year,Round,EventName,IsRainy,RainyLapFraction,AirTemp_mean,TrackTemp_mean,Humidity_mean,WindSpeed_mean
2025,13,Belgian Grand Prix,True,0.4574,17.03,24.09,84.444,1.446
2025,14,Hungarian Grand Prix,False,0.0,22.082,32.73,57.242,2.151
2025,15,Dutch Grand Prix,False,0.0,20.077,27.964,71.176,2.17
2025,16,Italian Grand Prix,False,0.0,26.761,43.288,42.604,1.96
2025,17,Azerbaijan Grand Prix,False,0.0,20.552,26.107,59.833,1.507
2025,18,Singapore Grand Prix,True,0.0373,29.072,33.852,74.36,1.111
2025,19,United States Grand Prix,False,0.0,28.268,45.045,22.532,2.082
2025,20,Mexico City Grand Prix,False,0.0,26.406,50.588,23.235,1.848
2025,21,São Paulo Grand Prix,False,0.0,17.348,30.693,70.572,1.51
2025,22,Las Vegas Grand Prix,False,0.0,16.734,19.53,37.766,1.437
2025,23,Qatar Grand Prix,False,0.0,22.599,28.16,69.047,1.251
2025,24,Abu Dhabi Grand Prix,False,0.0,26.674,31.062,60.442,1.573
2026,1,Australian Grand Prix,False,0.0,24.234,36.134,53.973,2.561
2026,2,Chinese Grand Prix,False,0.0,15.572,22.616,54.998,2.193
