Year,Round,EventName,DriverNumber,DriverAbbr,TeamName,GridPosition,Position,Points,Status,ClassifiedLaps,TotalRaceLaps
2018,9,Austrian Grand Prix,14,ALO,McLaren,13.0,8.0,4.0,+1 Lap,70.0,71
2018,9,Austrian Grand Prix,16,LEC,Sauber,18.0,9.0,2.0,+1 Lap,70.0,71
2018,9,Austrian Grand Prix,9,ERI,Sauber,20.0,10.0,1.0,+1 Lap,70.0,71
2018,9,Austrian Grand Prix,10,GAS,Toro Rosso,12.0,11.0,0.0,+1 Lap,70.0,71
2018,9,Austrian Grand Prix,55,SAI,Renault,9.0,12.0,0.0,+1 Lap,70.0,71
2018,9,Austrian Grand Prix,35,SIR,Williams,17.0,13.0,0.0,+2 Laps,69.0,71
2018,9,Austrian Grand Prix,18,STR,Williams,14.0,14.0,0.0,+2 Laps,69.0,71
2018,9,Austrian Grand Prix,2,VAN,McLaren,15.0,15.0,0.0,Collision damage,65.0,71
2018,9,Austrian Grand Prix,44,HAM,Mercedes,2.0,16.0,0.0,Fuel pressure,63.0,71
2018,9,Austrian Grand Prix,28,HAR,Toro Rosso,19.0,17.0,0.0,Hydraulics,55.0,71
2018,9,Austrian Grand Prix,3,RIC,Red Bull Racing,7.0,18.0,0.0,Exhaust,54.0,71
2018,9,Austrian Grand Prix,77,BOT,Mercedes,1.0,19.0,0.0,Hydraulics,14.0,71
2018,9,Austrian Grand Prix,27,HUL,Renault,10.0,20.0,0.0,Engine,12.0,71
2018,10,British Grand Prix,5,VET,Ferrari,2.0,1.0,25.0,Finished,52.0,52
2018,10,British Grand Prix,44,HAM,Mercedes,1.0,2.0,18.0,Finished,52.0,52
2018,10,British Grand Prix,7,RAI,Ferrari,3.0,3.0,15.0,Finished,52.0,52
2018,10,British Grand Prix,77,BOT,Mercedes,4.0,4.0,12.0,Finished,52.0,52
2018,10,British Grand Prix,3,RIC,Red Bull Racing,6.0,5.0,10.0,Finished,52.0,52
2018,10,British Grand Prix,27,HUL,Renault,11.0,6.0,8.0,Finished,52.0,52
2018,10,British Grand Prix,31,OCO,Force India,10.0,7.0,6.0,Finished,52.0,52
2018,10,British Grand Prix,14,ALO,McLaren,13.0,8.0,4.0,Finished,52.0,52
2018,10,British Grand Prix,20,MAG,Haas F1 Team,7.0,9.0,2.0,Finished,52.0,52
2018,10,British Grand Prix,11,PER,Force India,12.0,10.0,1.0,Finished,52.0,52
2018,10,British Grand Prix,2,VAN,McLaren,17.0,11.0,0.0,Finished,52.0,52
2018,10,British Grand Prix,18,STR,Williams,19.0,12.0,0.0,Finished,52.0,52
2018,10,British Grand Prix,10,GAS,Toro Rosso,14.0,13.0,0.0,Finished,52.0,52
2018,10,British Grand Prix,35,SIR,Williams,18.0,14.0,0.0,Finished,52.0,52
2018,10,British Grand Prix,33,VER,Red Bull Racing,5.0,15.0,0.0,Brakes,47.0,52
2018,10,British Grand Prix,8,GRO,Haas F1 Team,8.0,16.0,0.0,Collision,38.0,52
2018,10,British Grand Prix,55,SAI,Renault,16.0,17.0,0.0,Collision,38.0,52
2018,10,British Grand Prix,9,ERI,Sauber,15.0,18.0,0.0,Accident,32.0,52
2018,10,British Grand Prix,16,LEC,Sauber,9.0,19.0,0.0,Tyre,18.0,52
2018,10,British Grand Prix,28,HAR,Toro Rosso,0.0,20.0,0.0,Power Unit,1.0,52
2018,11,German Grand Prix,44,HAM,Mercedes,14.0,1.0,25.0,Finished,67.0,67
2018,11,German Grand Prix,77,BOT,Mercedes,2.0,2.0,18.0,Finished,67.0,67
2018,11,German Grand Prix,7,RAI,Ferrari,3.0,3.0,15.0,Finished,67.0,67
2018,11,German Grand Prix,33,VER,Red Bull Racing,4.0,4.0,12.0,Finished,67.0,67
2018,11,German Grand Prix,27,HUL,Renault,7.0,5.0,10.0,Finished,67.0,67
2018,11,German Grand Prix,8,GRO,Haas F1 Team,6.0,6.0,8.0,Finished,67.0,67
2018,11,German Grand Prix,11,PER,Force India,10.0,7.0,6.0,Finished,67.0,67
2018,11,German Grand Prix,31,OCO,Force India,15.0,8.0,4.0,Finished,67.0,67
2018,11,German Grand Prix,9,ERI,Sauber,13.0,9.0,2.0,Finished,67.0,67
2018,11,German Grand Prix,28,HAR,Toro Rosso,17.0,10.0,1.0,Finished,67.0,67
2018,11,German Grand Prix,20,MAG,Haas F1 Team,5.0,11.0,0.0,Finished,67.0,67
2018,11,German Grand Prix,55,SAI,Renault,8.0,12.0,0.0,Finished,67.0,67
2018,11,German Grand Prix,2,VAN,McLaren,19.0,13.0,0.0,Finished,67.0,67
2018,11,German Grand Prix,10,GAS,Toro Rosso,16.0,14.0,0.0,+1 Lap,66.0,67
2018,11,German Grand Prix,16,LEC,Sauber,9.0,15.0,0.0,+1 Lap,66.0,67
2018,11,German Grand Prix,14,ALO,McLaren,11.0,16.0,0.0,Retired,65.0,67
2018,11,German Grand Prix,18,STR,Williams,18.0,17.0,0.0,Engine,53.0,67
