Year,Round,EventName,LapNumber,Overtaker,OvertakerNumber,OvertakerTeam,PositionBefore,PositionAfter,Overtaken,OvertakenNumber,OvertakenTeam,SessionTime,SameLapWindowStart,SameLapWindowEnd,PitInfluenceFlag,DNFInfluenceFlag,IsTeammate,Is_DRS_Active,RelativeDistance,Throttle_Drop_Index,Brake_Pressure_Delta,TeamOrderConfidence,Vmin_Deviation,OffTrack_Flag,Lockup_Flag,LocalYellowFlag,OffTrackConfidence
2021,2,Emilia Romagna Grand Prix,10.0,OCO,31,Alpine,17.0,16.0,ALO,14,Alpine,0 days 00:53:03.050000,0 days 00:51:32.920000,0 days 00:53:03.050000,False,False,True,False,0.5269853536857594,3.0,350.0,0.58,-22.68,False,False,True,0.1
2021,2,Emilia Romagna Grand Prix,17.0,NOR,4,McLaren,6.0,5.0,RIC,3,McLaren,0 days 01:03:17.152000,0 days 01:01:50.547000,0 days 01:03:17.152000,False,False,True,False,0.5289334753936413,2.25,224.0,0.535,,False,False,False,
2021,3,Portuguese Grand Prix,65.0,VET,5,Aston Martin,14.0,13.0,STR,18,Aston Martin,0 days 02:06:12.400000,0 days 02:04:51.251000,0 days 02:06:12.400000,False,False,True,True,0.5085525906988275,8.333333333333334,250.0,0.9,,False,False,False,
2021,5,Monaco Grand Prix,28.0,MAZ,9,Haas F1 Team,19.0,18.0,MSC,47,Haas F1 Team,0 days 01:08:40.315000,0 days 01:07:24.334000,0 days 01:08:40.315000,False,False,True,False,0.4627756549097589,19.833333333333336,,0.6,,False,True,False,0.2
2021,9,Austrian Grand Prix,70.0,GIO,99,Alfa Romeo Racing,16.0,14.0,RAI,7,Alfa Romeo Racing,0 days 02:24:42.422000,0 days 02:23:34.560000,0 days 02:24:42.422000,False,False,True,False,0.506851300442912,45.0,,0.6,,False,True,True,0.3
2021,11,Hungarian Grand Prix,18.0,RAI,7,Alfa Romeo Racing,14.0,13.0,GIO,99,Alfa Romeo Racing,0 days 01:55:14.251000,0 days 01:53:50.555000,0 days 01:55:14.251000,False,False,True,False,0.5430888731059311,4.666666666666671,220.0,0.68,,False,True,False,0.2
2021,18,Mexico City Grand Prix,69.0,LEC,16,Ferrari,6.0,5.0,SAI,55,Ferrari,0 days 02:38:01.780000,0 days 02:36:42.420000,0 days 02:38:01.780000,False,False,True,False,0.5343322389487817,7.0,420.00000000000006,0.82,,False,True,False,0.2
2021,19,São Paulo Grand Prix,70.0,OCO,31,Alpine,9.0,8.0,ALO,14,Alpine,0 days 02:33:00.936000,0 days 02:31:47.334000,0 days 02:33:00.936000,False,False,True,False,0.54976233007313,18.75000704,,0.6,,False,False,False,
2022,11,Austrian Grand Prix,39.0,STR,18,Aston Martin,15.0,13.0,VET,5,Aston Martin,0 days 01:48:23.143000,0 days 01:47:12.576000,0 days 01:48:23.143000,False,False,True,False,0.5086399066387544,17.599999999999998,,0.6,,False,True,True,0.3
2023,6,Monaco Grand Prix,68.0,DEV,21,AlphaTauri,13.0,12.0,TSU,22,AlphaTauri,0 days 02:36:14.816000,0 days 02:34:41.157000,0 days 02:36:14.816000,False,False,True,False,0.4405358573094206,16.0,381.0,1.0,,False,True,True,0.3
2023,11,Hungarian Grand Prix,25.0,HAM,44,Mercedes,6.0,4.0,RUS,63,Mercedes,0 days 01:37:38.305000,0 days 01:36:14.528000,0 days 01:37:38.305000,False,False,True,False,0.5382041343978222,2.3333367466637513,300.0,0.54,,False,True,False,0.2
2023,15,Singapore Grand Prix,36.0,HUL,27,Haas F1 Team,14.0,13.0,MAG,20,Haas F1 Team,0 days 02:05:26.782000,0 days 02:03:47.238000,0 days 02:05:26.782000,False,False,True,False,0.5112700151621179,13.9999936,,0.6,,False,True,False,0.2
2023,15,Singapore Grand Prix,60.0,MAG,20,Haas F1 Team,12.0,11.0,HUL,27,Haas F1 Team,0 days 02:46:02.563000,0 days 02:44:22.521000,0 days 02:46:02.563000,False,False,True,False,0.5048455263220946,29.16666552888792,380.0,1.0,,False,False,False,
